U,Device,Connection1,Connection2,Connection3,Connection4,Connection5,Connection6,Connection7,Connection8
50,lan,,,,,,,,
49,lan,,,,,,,,
48,,,,,,,,,
47,san,,,,,,,,
46,san,,,,,,,,
45,ib,,,,,,,,
44,ib,,,,,,,,
43,,,,,,,,,
42,,,,,,,,,
41,,,,,,,,,
40,,,,,,,,,
39,,,,,,,,,
38,svr,44/2,45/2,46/2,47/2,49/2,50/2,,
37,,,,,,,,,
36,,,,,,,,,
35,,,,,,,,,
34,svr,44/2,45/2,46/2,47/2,49/2,50/2,,
33,,,,,,,,,
32,,,,,,,,,
31,,,,,,,,,
30,,,,,,,,,
29,sls,44/2,45/2,46/2,47/2,49/4,50/4,,
28,,,,,,,,,
27,,,,,,,,,
26,,,,,,,,,
25,,,,,,,,,
24,,,,,,,,,
23,,,,,,,,,
22,,,,,,,,,
21,sto,46/2,47/2,,,,,,
20,,,,,,,,,
19,,,,,,,,,
18,,,,,,,,,
17,,,,,,,,,
16,,,,,,,,,
15,,,,,,,,,
14,,,,,,,,,
13,,,,,,,,,
12,,,,,,,,,
11,,,,,,,,,
10,,,,,,,,,
9,,,,,,,,,
8,,,,,,,,,
7,,,,,,,,,
6,,,,,,,,,
5,,,,,,,,,
4,,,,,,,,,
3,,,,,,,,,
2,,,,,,,,,
1,bld,44/2,45/2,46/2,47/2,49/2,50/2,,
