__Cable part number__,__Source device type__,__Source U number__,__Parameter1__,__Parameter2__,__Parameter3__,__Destination device type__,__Destination U number__,__Parameter1__,__Parameter2__,__Parameter3__
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,ib,44,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,ib,44,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,ib,45,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,ib,45,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,san,46,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,san,46,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,san,47,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,san,47,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,lan,49,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,lan,49,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,lan,50,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,lan,50,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,sto,21,CONTROLLER NUMBER,PORT TYPE,PORT NUMBER,san,46,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,sto,21,CONTROLLER NUMBER,PORT TYPE,PORT NUMBER,san,46,PORT TYPE,PORT NUMBER,-
