__Item number__,__Cable part number__,__Source device description__,__Source label__,__Destination device description__,__Destination label__
1,ib-cable,Blade system placed at U1 - data module 5 - port 1,U1_DMO5_P1,Infiniband switch placed at U44 - port 1,U44_P1
2,ib-cable,Blade system placed at U1 - data module 6 - port 1,U1_DMO6_P1,Infiniband switch placed at U44 - port 2,U44_P2
3,ib-cable,Blade system placed at U1 - data module 5 - port 2,U1_DMO5_P2,Infiniband switch placed at U45 - port 1,U45_P1
4,ib-cable,Blade system placed at U1 - data module 6 - port 2,U1_DMO6_P2,Infiniband switch placed at U45 - port 2,U45_P2
5,fc-cable,Blade system placed at U1 - data module 3 - port 1,U1_DMO3_P1,SAN switch placed at U46 - FC port 1,U46_P1
6,fc-cable,Blade system placed at U1 - data module 4 - port 1,U1_DMO4_P1,SAN switch placed at U46 - FC port 2,U46_P2
7,fc-cable,Blade system placed at U1 - data module 3 - port 2,U1_DMO3_P2,SAN switch placed at U47 - FC port 1,U47_P1
8,fc-cable,Blade system placed at U1 - data module 4 - port 2,U1_DMO4_P2,SAN switch placed at U47 - FC port 2,U47_P2
9,RJ45,Blade system placed at U1 - data module 1 - port 1,U1_DMO1_P1,LAN switch placed at U49 - Ethernet port 1,U49_P1
10,RJ45,Blade system placed at U1 - data module 2 - port 1,U1_DMO2_P1,LAN switch placed at U49 - Ethernet port 2,U49_P2
11,RJ45,Blade system placed at U1 - data module 1 - port 2,U1_DMO1_P2,LAN switch placed at U50 - Ethernet port 1,U50_P1
12,RJ45,Blade system placed at U1 - data module 2 - port 2,U1_DMO2_P2,LAN switch placed at U50 - Ethernet port 2,U50_P2
13,fc-cable,Storage device placed at U21 - controller 1 - port 1,U21_C1_P1,SAN switch placed at U46 - FC port 3,U46_P3
14,fc-cable,Storage device placed at U21 - controller 2 - port 1,U21_C2_P1,SAN switch placed at U46 - FC port 4,U46_P4
15,fc-cable,Storage device placed at U21 - controller 1 - port 2,U21_C1_P2,SAN switch placed at U47 - FC port 3,U47_P3
16,fc-cable,Storage device placed at U21 - controller 2 - port 2,U21_C2_P2,SAN switch placed at U47 - FC port 4,U47_P4
