U,Device,Connection1,Connection2,Connection3,Connection4,Connection5,Connection6,Connection7,Connection8
50,,,,,,,,,
49,,,,,,,,,
48,,,,,,,,,
47,sto,,,,,,,,
46,,,,,,,,,
45,svr,47/1,,,,,,,
44,,,,,,,,,
43,svr,,,,,,,,
42,,,,,,,,,
41,,,,,,,,,
40,,,,,,,,,
39,,,,,,,,,
38,,,,,,,,,
37,,,,,,,,,
36,,,,,,,,,
35,,,,,,,,,
34,,,,,,,,,
33,sto,,,,,,,,
32,,,,,,,,,
31,,,,,,,,,
30,,,,,,,,,
29,,,,,,,,,
28,,,,,,,,,
27,,,,,,,,,
26,,,,,,,,,
25,snd,33/4,43/2,45/2,,,,,
24,,,,,,,,,
23,,,,,,,,,
22,,,,,,,,,
21,,,,,,,,,
20,,,,,,,,,
19,,,,,,,,,
18,,,,,,,,,
17,lnd,43/2,45/2,,,,,,
16,,,,,,,,,
15,,,,,,,,,
14,,,,,,,,,
13,,,,,,,,,
12,,,,,,,,,
11,,,,,,,,,
10,,,,,,,,,
9,bld,17/4,25/4,,,,,,
8,,,,,,,,,
7,,,,,,,,,
6,,,,,,,,,
5,,,,,,,,,
4,,,,,,,,,
3,,,,,,,,,
2,,,,,,,,,
1,bld,17/4,25/4,,,,,,
