__Cable part number__,__Source device type__,__Source U number__,__Parameter1__,__Parameter2__,__Parameter3__,__Destination device type__,__Destination U number__,__Parameter1__,__Parameter2__,__Parameter3__
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,lnd,17,BLADE NUMBER,PORT TYPE,PORT NUMBER
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,lnd,17,BLADE NUMBER,PORT TYPE,PORT NUMBER
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,lnd,17,BLADE NUMBER,PORT TYPE,PORT NUMBER
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,lnd,17,BLADE NUMBER,PORT TYPE,PORT NUMBER
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,snd,25,BLADE NUMBER,PORT TYPE,PORT NUMBER
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,snd,25,BLADE NUMBER,PORT TYPE,PORT NUMBER
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,snd,25,BLADE NUMBER,PORT TYPE,PORT NUMBER
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,snd,25,BLADE NUMBER,PORT TYPE,PORT NUMBER
CBL_PART_NR,bld,9,MODULE TYPE,MODULE NUMBER,PORT NUMBER,lnd,17,BLADE NUMBER,PORT TYPE,PORT NUMBER
CBL_PART_NR,bld,9,MODULE TYPE,MODULE NUMBER,PORT NUMBER,lnd,17,BLADE NUMBER,PORT TYPE,PORT NUMBER
CBL_PART_NR,bld,9,MODULE TYPE,MODULE NUMBER,PORT NUMBER,lnd,17,BLADE NUMBER,PORT TYPE,PORT NUMBER
CBL_PART_NR,bld,9,MODULE TYPE,MODULE NUMBER,PORT NUMBER,lnd,17,BLADE NUMBER,PORT TYPE,PORT NUMBER
CBL_PART_NR,bld,9,MODULE TYPE,MODULE NUMBER,PORT NUMBER,snd,25,BLADE NUMBER,PORT TYPE,PORT NUMBER
CBL_PART_NR,bld,9,MODULE TYPE,MODULE NUMBER,PORT NUMBER,snd,25,BLADE NUMBER,PORT TYPE,PORT NUMBER
CBL_PART_NR,bld,9,MODULE TYPE,MODULE NUMBER,PORT NUMBER,snd,25,BLADE NUMBER,PORT TYPE,PORT NUMBER
CBL_PART_NR,bld,9,MODULE TYPE,MODULE NUMBER,PORT NUMBER,snd,25,BLADE NUMBER,PORT TYPE,PORT NUMBER
CBL_PART_NR,lnd,17,BLADE NUMBER,PORT TYPE,PORT NUMBER,svr,43,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,lnd,17,BLADE NUMBER,PORT TYPE,PORT NUMBER,svr,43,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,lnd,17,BLADE NUMBER,PORT TYPE,PORT NUMBER,svr,45,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,lnd,17,BLADE NUMBER,PORT TYPE,PORT NUMBER,svr,45,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,snd,25,BLADE NUMBER,PORT TYPE,PORT NUMBER,sto,33,CONTROLLER NUMBER,PORT TYPE,PORT NUMBER
CBL_PART_NR,snd,25,BLADE NUMBER,PORT TYPE,PORT NUMBER,sto,33,CONTROLLER NUMBER,PORT TYPE,PORT NUMBER
CBL_PART_NR,snd,25,BLADE NUMBER,PORT TYPE,PORT NUMBER,sto,33,CONTROLLER NUMBER,PORT TYPE,PORT NUMBER
CBL_PART_NR,snd,25,BLADE NUMBER,PORT TYPE,PORT NUMBER,sto,33,CONTROLLER NUMBER,PORT TYPE,PORT NUMBER
CBL_PART_NR,snd,25,BLADE NUMBER,PORT TYPE,PORT NUMBER,svr,43,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,snd,25,BLADE NUMBER,PORT TYPE,PORT NUMBER,svr,43,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,snd,25,BLADE NUMBER,PORT TYPE,PORT NUMBER,svr,45,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,snd,25,BLADE NUMBER,PORT TYPE,PORT NUMBER,svr,45,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,svr,45,PORT TYPE,PORT NUMBER,-,sto,47,CONTROLLER NUMBER,PORT TYPE,PORT NUMBER
