__Cable part number__,__Source device type__,__Source U number__,__Parameter1__,__Parameter2__,__Parameter3__,__Destination device type__,__Destination U number__,__Parameter1__,__Parameter2__,__Parameter3__
RJ45,bld,1,DM,1,1,lnd,17,1,N,1
,bld,1,DM,1,2,lnd,17,2,N,1
,bld,1,DM,2,1,lnd,17,1,N,2
,bld,1,DM,2,2,lnd,17,2,N,2
fc-cable,bld,1,DM,3,1,snd,25,1,F,1
,bld,1,DM,3,2,snd,25,2,F,1
,bld,1,DM,4,1,snd,25,1,F,2
,bld,1,DM,4,2,snd,25,2,F,2
RJ45,bld,9,DM,1,1,lnd,17,1,N,3
,bld,9,DM,1,2,lnd,17,2,N,3
,bld,9,DM,2,1,lnd,17,1,N,4
,bld,9,DM,2,2,lnd,17,2,N,4
fc-cable,bld,9,DM,3,1,snd,25,1,F,3
,bld,9,DM,3,2,snd,25,2,F,3
,bld,9,DM,4,1,snd,25,1,F,4
,bld,9,DM,4,2,snd,25,2,F,4
RJ45,lnd,17,1,N,5,svr,43,E,1,-
,lnd,17,2,N,5,svr,43,E,2,-
,lnd,17,1,N,6,svr,45,E,1,-
,lnd,17,2,N,6,svr,45,E,2,-
fc-cable,snd,25,1,F,5,sto,33,1,D,1
,snd,25,2,F,5,sto,33,1,D,2
,snd,25,1,F,6,sto,33,2,D,1
,snd,25,2,F,6,sto,33,2,D,2
RJ45,snd,25,3,IS,1,svr,43,N,1,-
,snd,25,4,IS,1,svr,43,N,2,-
,snd,25,3,IP,1,svr,45,N,1,-
,snd,25,4,IP,1,svr,45,N,2,-
sas-cable,svr,45,S,1,-,sto,47,1,D,1
