U,Device,Connection1,Connection2,Connection3,Connection4,Connection5,Connection6,Connection7,Connection8
50,lan,,,,,,,,
49,,,,,,,,,
48,,,,,,,,,
47,,,,,,,,,
46,,,,,,,,,
45,svr,50/1,,,,,,,
44,,,,,,,,,
43,svr,50/1,,,,,,,
42,pdu,50/1,,,,,,,
41,pdu,50/1,,,,,,,
40,,,,,,,,,
39,,,,,,,,,
38,,,,,,,,,
37,,,,,,,,,
36,,,,,,,,,
35,,,,,,,,,
34,,,,,,,,,
33,sto,50/1,,,,,,,
32,,,,,,,,,
31,,,,,,,,,
30,,,,,,,,,
29,,,,,,,,,
28,,,,,,,,,
27,,,,,,,,,
26,,,,,,,,,
25,snd,50/1,,,,,,,
24,,,,,,,,,
23,pdu,50/2,,,,,,,
22,,,,,,,,,
21,,,,,,,,,
20,,,,,,,,,
19,,,,,,,,,
18,,,,,,,,,
17,lnd,50/1,,,,,,,
16,,,,,,,,,
15,,,,,,,,,
14,,,,,,,,,
13,pdu,50/2,,,,,,,
12,,,,,,,,,
11,,,,,,,,,
10,,,,,,,,,
9,bld,50/2,,,,,,,
8,,,,,,,,,
7,,,,,,,,,
6,,,,,,,,,
5,,,,,,,,,
4,pdu,50/2,,,,,,,
3,,,,,,,,,
2,,,,,,,,,
1,bld,'9/1,50/2,,,,,,
