__Cable part number__,__Source device type__,__Source U number__,__Parameter1__,__Parameter2__,__Parameter3__,__Destination device type__,__Destination U number__,__Parameter1__,__Parameter2__,__Parameter3__
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,bld,9,MODULE TYPE,MODULE NUMBER,PORT NUMBER
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,lan,50,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,lan,50,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,pdu,4,PLACEMENT,LOAD SEGMENT NUMBER,PORT NUMBER,lan,50,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,pdu,4,PLACEMENT,LOAD SEGMENT NUMBER,PORT NUMBER,lan,50,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,bld,9,MODULE TYPE,MODULE NUMBER,PORT NUMBER,lan,50,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,bld,9,MODULE TYPE,MODULE NUMBER,PORT NUMBER,lan,50,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,pdu,13,PLACEMENT,LOAD SEGMENT NUMBER,PORT NUMBER,lan,50,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,pdu,13,PLACEMENT,LOAD SEGMENT NUMBER,PORT NUMBER,lan,50,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,lnd,17,BLADE NUMBER,PORT TYPE,PORT NUMBER,lan,50,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,pdu,23,PLACEMENT,LOAD SEGMENT NUMBER,PORT NUMBER,lan,50,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,pdu,23,PLACEMENT,LOAD SEGMENT NUMBER,PORT NUMBER,lan,50,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,snd,25,BLADE NUMBER,PORT TYPE,PORT NUMBER,lan,50,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,sto,33,CONTROLLER NUMBER,PORT TYPE,PORT NUMBER,lan,50,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,pdu,41,PLACEMENT,LOAD SEGMENT NUMBER,PORT NUMBER,lan,50,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,pdu,42,PLACEMENT,LOAD SEGMENT NUMBER,PORT NUMBER,lan,50,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,svr,43,PORT TYPE,PORT NUMBER,-,lan,50,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,svr,45,PORT TYPE,PORT NUMBER,-,lan,50,PORT TYPE,PORT NUMBER,-
