__Cable part number__,__Source device type__,__Source U number__,__Parameter1__,__Parameter2__,__Parameter3__,__Destination device type__,__Destination U number__,__Parameter1__,__Parameter2__,__Parameter3__
C19-C20,bld,1,P,1,-,pdu,4,L,-,1
,bld,1,P,2,-,pdu,4,R,-,1
,bld,1,P,3,-,pdu,4,L,-,2
,bld,1,P,4,-,pdu,4,R,-,2
,bld,9,P,1,-,pdu,13,L,-,1
,bld,9,P,2,-,pdu,13,R,-,1
,bld,9,P,3,-,pdu,13,L,-,2
,bld,9,P,4,-,pdu,13,R,-,2
C13-C14,lnd,17,-,P,1,pdu,23,L,2,1
,lnd,17,-,P,2,pdu,23,R,2,1
,lnd,17,-,P,3,pdu,23,L,3,1
,lnd,17,-,P,4,pdu,23,R,3,1
,pdu,23,L,2,2,snd,25,-,P,1
,pdu,23,R,2,2,snd,25,-,P,2
,pdu,23,L,3,2,snd,25,-,P,3
,pdu,23,R,3,2,snd,25,-,P,4
C19-C20,pdu,23,L,1,1,ext,30,L,IN,-
,pdu,23,R,1,1,ext,30,R,IN,-
C13-C14,ext,30,L,1,-,sto,33,-,P,1
,ext,30,R,1,-,sto,33,-,P,2
,ext,30,L,2,-,sto,33,-,P,3
,ext,30,R,2,-,sto,33,-,P,4
,pdu,41,H,-,1,svr,43,P,1,-
,pdu,41,H,-,2,svr,45,P,1,-
,pdu,41,H,-,3,sto,47,-,P,1
,pdu,41,H,-,4,lan,50,P,1,-
,pdu,42,H,-,1,svr,43,P,2,-
,pdu,42,H,-,2,svr,45,P,2,-
,pdu,42,H,-,3,sto,47,-,P,2
