U,Device,Connection1,Connection2,Connection3,Connection4,Connection5,Connection6,Connection7,Connection8
50,lan,,,,,,,,
49,,,,,,,,,
48,,,,,,,,,
47,sto,,,,,,,,
46,,,,,,,,,
45,svr,,,,,,,,
44,,,,,,,,,
43,svr,,,,,,,,
42,pdu,43/1,45/1,47/1,,,,,
41,pdu,43/1,45/1,47/1,50/1,,,,
40,,,,,,,,,
39,,,,,,,,,
38,,,,,,,,,
37,,,,,,,,,
36,,,,,,,,,
35,,,,,,,,,
34,,,,,,,,,
33,sto,,,,,,,,
32,,,,,,,,,
31,,,,,,,,,
30,ext,33/4,,,,,,,
29,,,,,,,,,
28,,,,,,,,,
27,,,,,,,,,
26,,,,,,,,,
25,snd,,,,,,,,
24,,,,,,,,,
23,pdu,25/4,30/2,,,,,,
22,,,,,,,,,
21,,,,,,,,,
20,,,,,,,,,
19,,,,,,,,,
18,,,,,,,,,
17,lnd,23/4,,,,,,,
16,,,,,,,,,
15,,,,,,,,,
14,,,,,,,,,
13,pdu,,,,,,,,
12,,,,,,,,,
11,,,,,,,,,
10,,,,,,,,,
9,bld,13/4,,,,,,,
8,,,,,,,,,
7,,,,,,,,,
6,,,,,,,,,
5,,,,,,,,,
4,pdu,,,,,,,,
3,,,,,,,,,
2,,,,,,,,,
1,bld,'4/4,,,,,,,
