U,Device,Connection1,Connection2,Connection3,Connection4,Connection5,Connection6,Connection7,Connection8
50,,,,,,,,,
49,,,,,,,,,
48,lan,,,,,,,,
47,san,48/1,,,,,,,
46,san,48/1,,,,,,,
45,ib,48/1,,,,,,,
44,ib,48/1,,,,,,,
43,kvm,,,,,,,,
42,,,,,,,,,
41,,,,,,,,,
40,,,,,,,,,
39,,,,,,,,,
38,svr,43/1,48/1,,,,,,
37,,,,,,,,,
36,,,,,,,,,
35,,,,,,,,,
34,svr,43/1,48/1,,,,,,
33,,,,,,,,,
32,pdu,48/2,,,,,,,
31,,,,,,,,,
30,,,,,,,,,
29,sls,43/3,48/3,,,,,,
28,,,,,,,,,
27,,,,,,,,,
26,,,,,,,,,
25,,,,,,,,,
24,,,,,,,,,
23,,,,,,,,,
22,,,,,,,,,
21,sto,48/2,,,,,,,
20,,,,,,,,,
19,,,,,,,,,
18,,,,,,,,,
17,,,,,,,,,
16,pdu,48/1,,,,,,,
15,pdu,48/1,,,,,,,
14,,,,,,,,,
13,,,,,,,,,
12,,,,,,,,,
11,ups,48/1,,,,,,,
10,,,,,,,,,
9,,,,,,,,,
8,,,,,,,,,
7,,,,,,,,,
6,,,,,,,,,
5,,,,,,,,,
4,,,,,,,,,
3,,,,,,,,,
2,,,,,,,,,
1,bld,48/2,,,,,,,
