__Cable part number__,__Source device type__,__Source U number__,__Parameter1__,__Parameter2__,__Parameter3__,__Destination device type__,__Destination U number__,__Parameter1__,__Parameter2__,__Parameter3__
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,pdu,15,PLACEMENT,LOAD SEGMENT NUMBER,PORT NUMBER
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,pdu,15,PLACEMENT,LOAD SEGMENT NUMBER,PORT NUMBER
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,pdu,15,PLACEMENT,LOAD SEGMENT NUMBER,PORT NUMBER
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,pdu,16,PLACEMENT,LOAD SEGMENT NUMBER,PORT NUMBER
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,pdu,16,PLACEMENT,LOAD SEGMENT NUMBER,PORT NUMBER
CBL_PART_NR,bld,1,MODULE TYPE,MODULE NUMBER,PORT NUMBER,pdu,16,PLACEMENT,LOAD SEGMENT NUMBER,PORT NUMBER
CBL_PART_NR,ups,11,LOAD SEGMENT NUMBER,PORT NUMBER,-,pdu,15,PLACEMENT,LOAD SEGMENT NUMBER,PORT NUMBER
CBL_PART_NR,ups,11,LOAD SEGMENT NUMBER,PORT NUMBER,-,pdu,32,PLACEMENT,LOAD SEGMENT NUMBER,PORT NUMBER
CBL_PART_NR,pdu,15,PLACEMENT,LOAD SEGMENT NUMBER,PORT NUMBER,ext,39,PLACEMENT,PORT NUMBER,-
CBL_PART_NR,pdu,15,PLACEMENT,LOAD SEGMENT NUMBER,PORT NUMBER,ext,40,PLACEMENT,PORT NUMBER,-
CBL_PART_NR,pdu,16,PLACEMENT,LOAD SEGMENT NUMBER,PORT NUMBER,ext,41,PLACEMENT,PORT NUMBER,-
CBL_PART_NR,pdu,16,PLACEMENT,LOAD SEGMENT NUMBER,PORT NUMBER,ext,42,PLACEMENT,PORT NUMBER,-
CBL_PART_NR,sto,21,CONTROLLER NUMBER,PORT TYPE,PORT NUMBER,ext,39,PLACEMENT,PORT NUMBER,-
CBL_PART_NR,sto,21,CONTROLLER NUMBER,PORT TYPE,PORT NUMBER,ext,40,PLACEMENT,PORT NUMBER,-
CBL_PART_NR,sto,21,CONTROLLER NUMBER,PORT TYPE,PORT NUMBER,ext,41,PLACEMENT,PORT NUMBER,-
CBL_PART_NR,sto,21,CONTROLLER NUMBER,PORT TYPE,PORT NUMBER,ext,42,PLACEMENT,PORT NUMBER,-
CBL_PART_NR,sls,29,SLOT NUMBER, PORT TYPE,PORT NUMBER,pdu,32,PLACEMENT,LOAD SEGMENT NUMBER,PORT NUMBER
CBL_PART_NR,sls,29,SLOT NUMBER, PORT TYPE,PORT NUMBER,pdu,32,PLACEMENT,LOAD SEGMENT NUMBER,PORT NUMBER
CBL_PART_NR,sls,29,SLOT NUMBER, PORT TYPE,PORT NUMBER,pdu,32,PLACEMENT,LOAD SEGMENT NUMBER,PORT NUMBER
CBL_PART_NR,sls,29,SLOT NUMBER, PORT TYPE,PORT NUMBER,pdu,32,PLACEMENT,LOAD SEGMENT NUMBER,PORT NUMBER
CBL_PART_NR,svr,34,PORT TYPE,PORT NUMBER,-,ext,39,PLACEMENT,PORT NUMBER,-
CBL_PART_NR,svr,34,PORT TYPE,PORT NUMBER,-,ext,41,PLACEMENT,PORT NUMBER,-
CBL_PART_NR,svr,38,PORT TYPE,PORT NUMBER,-,ext,40,PLACEMENT,PORT NUMBER,-
CBL_PART_NR,svr,38,PORT TYPE,PORT NUMBER,-,ext,42,PLACEMENT,PORT NUMBER,-
CBL_PART_NR,ext,39,PLACEMENT,PORT NUMBER,-,kvm,43,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,ext,39,PLACEMENT,PORT NUMBER,-,ib,45,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,ext,39,PLACEMENT,PORT NUMBER,-,san,47,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,ext,39,PLACEMENT,PORT NUMBER,-,lan,49,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,ext,40,PLACEMENT,PORT NUMBER,-,ib,44,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,ext,40,PLACEMENT,PORT NUMBER,-,san,46,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,ext,40,PLACEMENT,PORT NUMBER,-,lan,50,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,ext,41,PLACEMENT,PORT NUMBER,-,ib,44,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,ext,41,PLACEMENT,PORT NUMBER,-,san,46,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,ext,41,PLACEMENT,PORT NUMBER,-,lan,48,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,ext,41,PLACEMENT,PORT NUMBER,-,lan,49,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,ext,42,PLACEMENT,PORT NUMBER,-,ib,45,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,ext,42,PLACEMENT,PORT NUMBER,-,san,47,PORT TYPE,PORT NUMBER,-
CBL_PART_NR,ext,42,PLACEMENT,PORT NUMBER,-,lan,50,PORT TYPE,PORT NUMBER,-
