U,Device,Connection1,Connection2,Connection3,Connection4,Connection5,Connection6,Connection7,Connection8
50,lan,,,,,,,,
49,lan,,,,,,,,
48,lan,,,,,,,,
47,san,48/1,,,,,,,
46,san,48/1,,,,,,,
45,ib,,,,,,,,
44,ib,,,,,,,,
43,kvm,,,,,,,,
42,,,,,,,,,
41,,,,,,,,,
40,,,,,,,,,
39,,,,,,,,,
38,svr,43/1,44/2,45/2,46/2,47/2,48/1,49/2,50/2
37,,,,,,,,,
36,,,,,,,,,
35,,,,,,,,,
34,svr,43/1,44/2,45/2,46/2,47/2,48/1,49/2,50/2
33,,,,,,,,,
32,,,,,,,,,
31,,,,,,,,,
30,,,,,,,,,
29,,,,,,,,,
28,,,,,,,,,
27,,,,,,,,,
26,,,,,,,,,
25,,,,,,,,,
24,,,,,,,,,
23,,,,,,,,,
22,,,,,,,,,
21,sto,46/2,47/2,48/2,,,,,
20,,,,,,,,,
19,,,,,,,,,
18,,,,,,,,,
17,,,,,,,,,
16,pdu,48/1,,,,,,,
15,pdu,48/1,,,,,,,
14,,,,,,,,,
13,,,,,,,,,
12,,,,,,,,,
11,ups,48/1,,,,,,,
10,,,,,,,,,
9,,,,,,,,,
8,,,,,,,,,
7,,,,,,,,,
6,,,,,,,,,
5,,,,,,,,,
4,,,,,,,,,
3,,,,,,,,,
2,,,,,,,,,
1,bld,44/2,45/2,46/2,47/2,48/2,49/2,50/2,
