__Cable part number__,__Source device type__,__Source U number__,__Parameter1__,__Parameter2__,__Parameter3__,__Destination device type__,__Destination U number__,__Parameter1__,__Parameter2__,__Parameter3__
C19-C20,bld,1,P,1,-,pdu,15,H,3,1
,bld,1,P,2,-,pdu,15,H,3,2
,bld,1,P,3,-,pdu,15,H,4,1
,bld,1,P,4,-,pdu,16,H,3,1
,bld,1,P,5,-,pdu,16,H,3,2
,bld,1,P,6,-,pdu,16,H,4,2
UPS-PDU,ups,11,1,1,-,pdu,15,H,-,IN
C19-C20,pdu,15,H,1,1,ext,39,L,IN,-
,pdu,15,H,2,1,ext,40,R,IN,-
,pdu,16,H,1,1,ext,41,L,IN,-
,pdu,16,H,2,1,ext,42,R,IN,-
C13-C14,sto,21,-,p,1,ext,39,L,1,-
,sto,21,-,P,2,ext,40,R,1,-
,sto,21,-,p,3,ext,41,L,1,-
,sto,21,-,P,4,ext,42,R,1,-
,svr,34,P,1,-,ext,39,L,2,-
,svr,34,P,2,-,ext,41,L,2,-
,svr,38,P,1,-,ext,40,R,2,-
,svr,38,P,2,-,ext,42,R,2,-
C14-C13,ext,39,L,3,-,kvm,43,p,1,-
,ext,39,L,4,-,ib,45,P,1,-
,ext,39,L,5,-,san,47,P,1,-
,ext,39,L,6,-,lan,49,p,1,-
,ext,40,R,3,-,ib,44,p,1,-
,ext,40,R,4,-,san,46,P,1,-
,ext,40,R,5,-,lan,50,P,1,-
,ext,41,L,3,-,ib,44,P,2,-
,ext,41,L,4,-,san,46,P,2,-
,ext,41,L,5,-,lan,48,P,1,-
,ext,41,L,6,-,lan,49,P,2,-
,ext,42,R,3,-,ib,45,p,2,-
,ext,42,R,4,-,san,47,p,2,-
,ext,42,R,5,-,lan,50,P,2,-
